policy,episode_index,seed,episode_seed,level_id,map_file,level_pool_index,final_spt_t10,spt_by_turn,final_stars,final_city_count,final_avg_city_level,turn_first_uncaptured_village_visible,turn_second_city_captured,final_unit_count,organization_researched,turn_organization_researched,forestry_researched,turn_forestry_researched,techs_researched,fruit_harvested_t10,animals_harvested_t10,villages_captured_t10,fog_tiles_cleared_total,total_reward,custom_spt_return,truncated,step_count
ppo_latest,0,42,42,phase1_12x12_pool_042.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_042.csv,42,6.0,"[null, null, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0]",5.0,3.0,1.3333333333333333,2.0,5.0,7.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,47.0,43.25999999999999,6.0,True,44
oracle_org_only,0,42,42,phase1_12x12_pool_043.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_043.csv,43,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,9.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,2.0,58.0,80.63999999999999,10.0,True,53
ppo_latest,1,43,43,phase1_12x12_pool_045.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_045.csv,45,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,4.0,7.0,7.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,40.0,50.699999999999996,8.0,True,39
oracle_org_only,1,43,43,phase1_12x12_pool_046.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_046.csv,46,10.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,5.0,9.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,2.0,48.0,71.33999999999999,10.0,True,50
ppo_latest,2,44,44,phase1_12x12_pool_048.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_048.csv,48,10.0,"[null, null, 4.0, 4.0, 4.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,5.0,8.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,57.0,58.55999999999999,10.0,True,48
oracle_org_only,2,44,44,phase1_12x12_pool_049.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_049.csv,49,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,5.0,1.0,2.0,0.0,-1.0,1.0,4.0,0.0,2.0,39.0,57.62,10.0,True,36
ppo_latest,3,45,45,phase1_12x12_pool_051.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_051.csv,51,10.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,5.0,8.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,2.0,64.0,80.61999999999999,10.0,True,50
oracle_org_only,3,45,45,phase1_12x12_pool_052.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_052.csv,52,7.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,4.0,7.0,6.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,40.0,42.699999999999996,7.0,True,35
ppo_latest,4,46,46,phase1_12x12_pool_054.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_054.csv,54,10.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,5.0,8.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,56.0,64.97999999999999,10.0,True,50
oracle_org_only,4,46,46,phase1_12x12_pool_055.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_055.csv,55,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 8.0, 8.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,4.0,7.0,7.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,44.0,57.519999999999996,8.0,True,36
ppo_latest,5,47,47,phase1_12x12_pool_057.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_057.csv,57,7.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,2.0,5.0,8.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,45.0,31.599999999999994,7.0,True,48
oracle_org_only,5,47,47,phase1_12x12_pool_058.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_058.csv,58,10.0,"[null, null, 4.0, 4.0, 4.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,5.0,4.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,2.0,52.0,58.16,10.0,True,36
ppo_latest,6,48,48,phase1_12x12_pool_060.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_060.csv,60,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 8.0, 11.0, 13.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,9.0,0.0,-1.0,0.0,-1.0,0.0,2.0,4.0,3.0,54.0,92.81999999999996,13.0,True,60
oracle_org_only,6,48,48,phase1_12x12_pool_061.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_061.csv,61,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,6.0,0.0,3.0,41.0,88.27999999999999,13.0,True,53
ppo_latest,7,49,49,phase1_12x12_pool_063.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_063.csv,63,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 8.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,3.0,6.0,8.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,44.0,51.52,8.0,True,44
oracle_org_only,7,49,49,phase1_12x12_pool_064.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_064.csv,64,4.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,-1.0,-1.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,True,9
